,favorite_count,retweet_count,tweet_id
0,38766,8579,892420643555336193
1,33207,6305,892177421306343426
2,25009,4187,891815181378084864
3,42144,8703,891689557279858688
4,40298,9466,891327558926688256
5,20201,3135,891087950875897856
6,11844,2087,890971913173991426
7,65475,19019,890729181411237888
8,27763,4291,890609185150312448
9,31925,7464,890240255349198849
10,30622,7381,890006608113172480
11,27769,5000,889880896479866881
12,48079,10124,889665388333682689
13,27151,4573,889638837579907072
14,15080,2251,889531135344209921
15,25298,5468,889278841981685760
16,29061,4524,888917238123831296
17,25580,4372,888804989199671297
18,19890,3603,888554962724278272
19,21743,3516,888078434458587136
20,30166,5426,887705289381826560
21,46208,11739,887517139158093824
22,69082,18353,887473957103951883
23,33676,10470,887343217045368832
24,30517,5996,887101392804085760
25,35126,7820,886983233522544640
26,12062,3316,886736880519319552
27,22417,4495,886680336477933568
28,21186,3216,886366144734445568
29,116,4,886267009285017600
30,27970,6327,886258384151887873
31,0,104,886054160059072513
32,32693,6853,885984800019947520
33,35989,6478,885528943205470208
34,20420,3781,885518971528720385
35,0,18692,885311592912609280
36,21931,4408,885167619883638784
37,77531,18570,884925521741709313
38,27924,5823,884876753390489601
39,24288,4899,884562892145688576
40,26974,5688,884441805382717440
41,72992,20578,884247878851493888
42,20367,3007,884162670584377345
43,21889,3471,883838122936631299
44,45938,10031,883482846933004288
45,22554,3710,883360690899218434
46,37210,6719,883117836046086144
47,23938,3948,882992080364220416
48,28300,4959,882762694511734784
49,27890,6145,882627270321602560
50,44966,11692,882268110199369728
51,29339,5027,882045870035918850
52,24277,3420,881906580714921986
53,50537,10759,881666595344535552
54,128,7,881633300179243008
55,49451,16113,881536004380872706
56,23063,5195,881268444196462592
57,17002,2798,880935762899988482
58,21301,3850,880872448815771648
59,28518,6337,880465832366813184
60,27075,4271,880221127280381952
61,27614,4393,880095782870896641
62,22293,3523,879862464715927552
63,313,10,879674319642796034
64,23408,3209,879492040517615616
65,105871,44604,879415818425184262
66,16773,3147,879376492567855104
67,0,6907,879130579576475649
68,22591,4757,879050749262655488
69,18963,2719,879008229531029506
70,19388,4170,878776093423087618
71,30283,7308,878604707211726852
72,0,1308,878404777348136964
73,0,6710,878316110768087041
74,7754,1308,878281511006478336
75,42049,6907,878057613040115712
76,79955,19344,877736472329191424
77,0,81,877611172832227328
78,22761,3864,877556246731214848
79,27370,5225,877316821321428993
80,27146,5655,877201837425926144
81,20682,3398,876838120628539392
82,23456,4658,876537666061221889
83,18780,2429,876484053909872640
84,27945,4746,876120275196170240
85,25223,4350,875747767867523072
86,21942,4983,875144289856114688
87,27448,6111,875097192612077568
88,25516,4775,875021211251597312
89,27890,4705,874680097055178752
90,0,14945,874434818259525634
91,26108,4167,874296783580663808
92,22694,4006,874057562936811520
93,34765,10616,874012996292530176
94,24313,4003,873580283840344065
95,0,1611,873337748698140672
96,7279,1611,873213775632977920
97,27465,5489,872967104147763200
98,14766,3754,872820683541237760
99,0,28,872668790621863937
100,20856,3770,872620804844003328
101,40858,9157,872486979161796608
102,34386,6440,872261713294495745
103,34619,8270,872122724285648897
104,38246,11423,871879754684805121
105,20361,3532,871762521631449091
106,20325,3516,871515927908634625
107,0,5794,871166179821445120
108,21046,5596,871102520638267392
109,22810,3876,871032628920680449
110,33873,6343,870804317367881728
111,120,3,870726314365509632
112,12516,2704,870656317836468226
113,83331,26781,870374049280663552
114,21986,4241,870308999962521604
115,36999,8537,870063196459192321
116,42798,10284,869772420881756160
117,28530,6473,869702957897576449
118,16144,3207,869596645499047938
119,20650,3886,869227993411051520
120,66377,14891,868880397819494401
121,0,2158,868639477480148993
122,27550,5924,868622495443632128
123,10286,2158,868552278524837888
124,24478,4289,867900495410671616
125,34443,7533,867774946302451713
126,16373,2590,867421006826221569
127,0,131,867072653475098625
128,32740,8117,867051520902168576
129,20408,4982,866720684873056260
130,19646,3601,866686824827068416
131,124301,36391,866450705531457537
132,53488,14945,866334964761202691
133,0,8659,866094527597207552
134,26050,5787,865718153858494464
135,26949,5171,865359393868664832
136,28510,7932,865006731092295680
137,32923,9032,864873206498414592
138,14897,3156,864279568663928832
139,30767,9281,864197398364647424
140,21036,4290,863907417377173506
141,15587,4331,863553081350529029
142,0,2571,863471782782697472
